epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.673,0.02231,2.9707,1.66224,0.26499,0.33459,0.25997,0.11329,0.02489,5.67367,1.94659,0.080569,0.000396552,0.000396552
2,116.429,0.02141,2.43297,1.69686,0.61144,0.58601,0.62058,0.28083,0.02609,2.40512,2.01423,0.0609637,0.000791268,0.000791268
3,172.976,0.02166,2.40197,1.74461,0.80883,0.77883,0.81933,0.4224,0.02103,1.83845,1.67013,0.0413531,0.00118068,0.00118068
4,229.848,0.02115,2.29203,1.71775,0.64327,0.6276,0.62758,0.30421,0.02313,3.44853,1.91,0.0217372,0.00156478,0.00156478
5,285.489,0.02096,2.22067,1.72741,0.63504,0.72779,0.69001,0.37989,0.02127,2.44329,1.71876,0.00211599,0.00194358,0.00194358
6,340.491,0.02112,2.27231,1.71548,0.81432,0.69943,0.78271,0.38936,0.02145,2.07951,1.75026,0.00193367,0.00193367,0.00193367
7,395.943,0.02072,2.22019,1.70969,0.83723,0.77127,0.8057,0.35011,0.02514,2.63457,1.98084,0.0019204,0.0019204,0.0019204
8,450.486,0.02042,2.13288,1.68087,0.92041,0.82609,0.90493,0.48995,0.02087,1.5442,1.66123,0.00190713,0.00190713,0.00190713
9,505.155,0.02033,2.07669,1.6714,0.82149,0.73913,0.80066,0.40234,0.0231,1.81747,1.83234,0.00189387,0.00189387,0.00189387
10,560.102,0.02009,2.02844,1.68621,0.90839,0.7873,0.88351,0.50899,0.01948,1.53719,1.59033,0.0018806,0.0018806,0.0018806
11,615.667,0.01993,2.02904,1.65667,0.88689,0.80037,0.88203,0.51235,0.02069,1.49845,1.68135,0.00186733,0.00186733,0.00186733
12,670.464,0.01956,1.95645,1.63625,0.88274,0.75425,0.84861,0.43983,0.02299,1.72768,1.83724,0.00185407,0.00185407,0.00185407
13,725.551,0.01954,1.9406,1.64201,0.84308,0.8633,0.9052,0.50461,0.01946,2.22068,1.5801,0.0018408,0.0018408,0.0018408
14,780.362,0.0197,1.96703,1.65338,0.88591,0.84121,0.89801,0.4689,0.02104,1.70718,1.68056,0.00182753,0.00182753,0.00182753
15,835.604,0.01917,1.88422,1.62385,0.88278,0.81146,0.8771,0.45351,0.02189,1.5599,1.78147,0.00181427,0.00181427,0.00181427
16,891.272,0.01928,1.89344,1.64083,0.88747,0.83486,0.89259,0.49011,0.02074,1.47435,1.68956,0.001801,0.001801,0.001801
17,946.269,0.01928,1.85114,1.63339,0.89029,0.84374,0.90123,0.54296,0.01939,1.29426,1.6038,0.00178773,0.00178773,0.00178773
18,1001.56,0.01907,1.81976,1.6197,0.94529,0.87524,0.93682,0.60051,0.01845,1.23057,1.49679,0.00177447,0.00177447,0.00177447
19,1058.13,0.01895,1.82814,1.61992,0.89782,0.83052,0.90239,0.51073,0.02055,1.51547,1.67106,0.0017612,0.0017612,0.0017612
20,1113.71,0.01902,1.79706,1.62293,0.91667,0.83176,0.89543,0.50596,0.02094,1.32379,1.68359,0.00174793,0.00174793,0.00174793
21,1169.07,0.01888,1.76952,1.618,0.9339,0.84877,0.93067,0.54046,0.02038,1.27417,1.63017,0.00173467,0.00173467,0.00173467
22,1224.98,0.01884,1.74566,1.61678,0.93634,0.8619,0.93677,0.57411,0.01923,1.28985,1.53879,0.0017214,0.0017214,0.0017214
23,1280.21,0.01877,1.7366,1.60666,0.89433,0.80907,0.87509,0.43274,0.02346,1.54751,1.87113,0.00170813,0.00170813,0.00170813
24,1335.16,0.01863,1.72851,1.6085,0.93482,0.86767,0.92496,0.48622,0.02242,1.26918,1.78713,0.00169487,0.00169487,0.00169487
25,1390.23,0.01885,1.73588,1.61719,0.93294,0.89036,0.93953,0.57145,0.01911,1.2077,1.53337,0.0016816,0.0016816,0.0016816
26,1446.88,0.01862,1.72723,1.59645,0.94432,0.86556,0.93783,0.57468,0.01914,1.2048,1.54194,0.00166833,0.00166833,0.00166833
27,1502.12,0.0188,1.71602,1.6131,0.9447,0.8719,0.93702,0.57631,0.01932,1.17387,1.57159,0.00165507,0.00165507,0.00165507
28,1556.88,0.01843,1.69273,1.58656,0.95659,0.87902,0.94816,0.59969,0.01855,1.10603,1.51099,0.0016418,0.0016418,0.0016418
29,1613.31,0.01838,1.67573,1.58179,0.95745,0.86578,0.93178,0.60566,0.01854,1.11627,1.50063,0.00162853,0.00162853,0.00162853
30,1668.47,0.01841,1.67079,1.59111,0.94952,0.88885,0.945,0.60004,0.01886,1.06846,1.53603,0.00161527,0.00161527,0.00161527
31,1723.54,0.01852,1.64571,1.59711,0.93502,0.87047,0.92734,0.61156,0.01782,1.09967,1.45438,0.001602,0.001602,0.001602
32,1780.04,0.0183,1.65959,1.59741,0.95139,0.862,0.93308,0.6134,0.01832,1.09806,1.48517,0.00158873,0.00158873,0.00158873
33,1835.78,0.01837,1.68673,1.59224,0.9531,0.862,0.92771,0.61732,0.01778,1.09128,1.4518,0.00157547,0.00157547,0.00157547
34,1890.76,0.01805,1.61707,1.58213,0.93414,0.88487,0.93576,0.59569,0.01872,1.12849,1.5181,0.0015622,0.0015622,0.0015622
35,1946.45,0.01825,1.62254,1.59236,0.91093,0.88931,0.93368,0.58749,0.01884,1.10987,1.53495,0.00154893,0.00154893,0.00154893
36,2002.42,0.01826,1.62219,1.58519,0.92692,0.87524,0.9373,0.60133,0.01823,1.09972,1.50014,0.00153567,0.00153567,0.00153567
37,2059.01,0.0182,1.61606,1.5731,0.94392,0.89087,0.95046,0.62389,0.01787,1.05091,1.4506,0.0015224,0.0015224,0.0015224
38,2114.49,0.01797,1.58776,1.58226,0.95221,0.90406,0.94928,0.63643,0.01746,0.97202,1.45637,0.00150913,0.00150913,0.00150913
39,2170.28,0.01798,1.5782,1.58523,0.94223,0.88847,0.94342,0.59841,0.01879,1.08222,1.52589,0.00149587,0.00149587,0.00149587
40,2225.73,0.01815,1.57716,1.57018,0.95924,0.89414,0.94325,0.63656,0.01743,1.02604,1.4575,0.0014826,0.0014826,0.0014826
41,2281.13,0.01788,1.5123,1.55838,0.95427,0.90737,0.94662,0.62377,0.01804,1.02484,1.47215,0.00146933,0.00146933,0.00146933
